Name,Description,Address,City,State,Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Gondolier Italian Restaurant and Pizza,Gondolier Italian Restaurant and Pizza,100 Mill Street,Starkville,MS,6626178141,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-11:00PM,11:00AM-11:00PM,11:00AM-10:00PM
Bin 612,Bin 612,612 University Drive,Starkville,MS,6623246126,11:00AM-12:00AM,11:00AM-12:00AM,11:00AM-12:00AM,11:00AM-12:00AM,11:00AM-1:00AM,11:00AM-1:00AM,11:00AM-10:00PM
City Bagel Cafe,City Bagel Cafe,511 University Drive,Starkville,MS,6623240000,6:30AM-2:00PM,6:30AM-2:00PM,"6:30AM-2:00PM, 5:00PM-9:00PM","6:30AM-2:00PM, 5:00PM-9:00PM","6:30AM-2:00PM, 5:00PM-9:00PM","6:30AM-2:00PM, 5:00PM-9:00PM",6:30AM-2:00PM
Mugshots,Burgers,550 Russell Street,Starkville,MS,6623243965,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-11:00PM,11:00AM-11:00PM,11:00AM-9:00PM
Newks Eatery,Newk's Eatery,132 Highway West,Starkville,MS,6623236395,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM
Restaurant Tyler,Restaurant Tyler,100 East Main Street,Starkville,MS,6623241014,11:00AM-2:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-10:00PM,5:00PM-10:00PM,10:00AM-2:00PM
Rosey Baby,Crawfish & Cajun House,300 South Jackson Street,Starkville,MS,6623241949,4:00PM-10:00PM,4:00PM-10:00PM,4:00PM-10:00PM,4:00PM-10:00PM,4:00PM-10:00PM,4:00PM-10:00PM,Closed
The Little Dooey,BBQ/Southern,100 Fellowship Street,Starkville,MS,6623236094,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-2:00PM
